"report_date_as_yyyy_mm_dd","market_and_exchange_names","commodity_name","open_interest_all","prod_merc_positions_long","prod_merc_positions_short","m_money_positions_long_all","m_money_positions_short_all"
"2006-07-11T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","312684","34094","114612","101019","29135"
"2006-07-11T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","74754","12899","20515","8601","6005"
"2006-07-11T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","99551","12352","36895","20590","2449"
"2006-07-11T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","8213","423","4336","3897","833"
"2006-07-11T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","872790","148629","156587","81779","64769"
"2006-07-18T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","893278","154575","161165","79699","57770"
"2006-07-18T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","324276","30100","115518","105068","25797"
"2006-07-18T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","76332","13629","20491","8819","6188"
"2006-07-18T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","99954","11289","37072","19700","3558"
"2006-07-18T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","9022","438","4925","4471","833"
"2006-07-18T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","14132","1034","7538","6617","2064"
"2006-07-25T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","892822","152423","160122","83531","49393"
"2006-07-25T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","315635","34473","118546","96891","23984"
"2006-07-25T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","73348","13491","19659","6411","6187"
"2006-07-25T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","97539","10069","36075","19444","3111"
"2006-07-25T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","8567","432","4903","4145","583"
"2006-07-25T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","14535","1071","7504","6643","2064"
"2006-08-01T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","13587","934","7402","5876","2064"
"2006-08-01T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","304907","29814","123870","95785","25176"
"2006-08-01T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","71537","11874","19379","6393","6514"
"2006-08-01T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","98685","9959","36632","22550","3522"
"2006-08-01T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","9272","404","5219","4789","383"
"2006-08-01T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","921137","149099","159229","74738","44793"
"2006-08-08T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","12388","988","6716","4419","1587"
"2006-08-08T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","309097","30425","129179","100994","26676"
"2006-08-08T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","72385","12613","19835","7014","7508"
"2006-08-08T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","108463","8954","38324","27393","4254"
"2006-08-08T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","10176","394","5517","5083","383"
"2006-08-08T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","944677","151256","166054","77178","45388"
"2006-08-15T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","12911","1077","7494","4497","1087"
"2006-08-15T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","313327","31132","126778","94115","26225"
"2006-08-15T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","74277","13995","20502","6975","8351"
"2006-08-15T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","111358","10492","38792","27232","4063"
"2006-08-15T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","9948","420","5169","4901","383"
"2006-08-15T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","947840","143227","160618","80640","47399"
"2006-08-22T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","13074","1021","7697","4706","881"
"2006-08-22T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","306171","32180","125829","87386","27081"
"2006-08-22T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","72057","14189","19852","5889","8986"
"2006-08-22T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","114877","10301","40125","28373","3626"
"2006-08-22T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","9877","455","5135","4588","383"
"2006-08-22T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","943615","147244","164891","88692","54160"
"2006-08-29T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","14073","1900","8773","4583","881"
"2006-08-29T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","307583","33212","123138","80809","31280"
"2006-08-29T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","69311","13335","19367","5979","10458"
"2006-08-29T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","112346","10384","39208","28009","4504"
"2006-08-29T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","9665","537","5036","4612","525"
"2006-08-29T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","922997","170821","193165","95053","49489"
"2006-09-05T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","108132","8572","39644","29842","5535"
"2006-09-05T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","319998","32468","127680","87652","29430"
"2006-09-05T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","69247","12925","20988","7300","9847"
"2006-09-05T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","10269","601","5371","5203","575"
"2006-09-05T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","11444","1045","7603","4851","1289"
"2006-09-05T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","916352","151555","163601","85920","58700"
"2006-09-12T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","937853","155891","169220","107603","66875"
"2006-09-12T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","310510","35621","120300","76571","30631"
"2006-09-12T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","68944","13378","22347","5629","8413"
"2006-09-12T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","101450","11161","35912","21900","5882"
"2006-09-12T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","9399","461","4804","4359","600"
"2006-09-12T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","11489","1027","7383","4327","1446"
"2006-09-19T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","10823","1121","6672","3586","1520"
"2006-09-19T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","325852","41086","119904","72225","30632"
"2006-09-19T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","68168","13681","23328","6850","10338"
"2006-09-19T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","100314","12245","35383","18310","7950"
"2006-09-19T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","8528","739","4074","3433","550"
"2006-09-19T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","949798","163283","171990","100692","65725"
"2006-09-26T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","10884","1273","7053","3334","1098"
"2006-09-26T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","322937","42960","116405","68325","33001"
"2006-09-26T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","67977","12225","20515","8477","10697"
"2006-09-26T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","100272","12984","34617","19518","7958"
"2006-09-26T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","8451","682","3993","3422","671"
"2006-09-26T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","945956","157424","176631","118416","75891"
"2006-10-03T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","11344","1330","7117","3510","1133"
"2006-10-03T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","330065","46766","116196","66119","33666"
"2006-10-03T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","69400","12693","21255","8469","13680"
"2006-10-03T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","98967","13028","34187","18638","7026"
"2006-10-03T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","7682","521","3833","3389","863"
"2006-10-03T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","946291","152837","169947","126260","72754"
"2006-10-10T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","11681","1266","6960","3607","1466"
"2006-10-10T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","334329","48112","114999","62270","39206"
"2006-10-10T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","69015","11795","17611","8637","14581"
"2006-10-10T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","100304","14212","34699","19212","7261"
"2006-10-10T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","6968","543","3177","2716","1501"
"2006-10-10T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","930902","154690","168212","112544","58266"
"2006-10-17T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","940537","154391","167040","112342","60236"
"2006-10-17T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","329875","46758","112417","64602","42773"
"2006-10-17T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","72713","10619","21157","10766","12874"
"2006-10-17T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","106890","14195","36808","22544","6900"
"2006-10-17T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","7288","532","3436","2700","1572"
"2006-10-17T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","11498","1254","6926","3767","1337"
"2006-10-24T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","934750","152968","164478","115344","55266"
"2006-10-24T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","331598","50694","112215","54019","43840"
"2006-10-24T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","75321","10707","20842","10098","11962"
"2006-10-24T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","109100","13936","38407","23345","6910"
"2006-10-24T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","7046","653","3138","2530","1426"
"2006-10-24T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","12139","1295","6985","2907","1425"
"2006-10-31T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","12707","1252","7279","4521","1459"
"2006-10-31T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","323481","41086","109303","59985","39093"
"2006-10-31T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","74423","10375","20194","9502","13841"
"2006-10-31T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","110237","11475","38159","26781","6595"
"2006-10-31T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","7648","853","3227","2744","1739"
"2006-10-31T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","907876","145086","161546","114216","62178"
"2006-11-07T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","12963","1173","7855","4904","1396"
"2006-11-07T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","335036","39160","121982","76134","32604"
"2006-11-07T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","72371","10755","18319","9627","15424"
"2006-11-07T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","113697","11261","40319","29219","6449"
"2006-11-07T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","9085","995","4251","3125","1354"
"2006-11-07T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","903951","143747","159062","112436","64563"
"2006-11-14T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","12931","1028","7648","4500","1301"
"2006-11-14T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","356575","45125","133631","79157","29403"
"2006-11-14T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","73681","11974","16747","7783","17430"
"2006-11-14T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","117486","9738","42451","33407","6161"
"2006-11-14T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","8258","702","4352","2942","1336"
"2006-11-14T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","911101","146769","161328","111911","60201"
"2006-11-21T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","12632","1329","7231","3762","1236"
"2006-11-21T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","355430","40770","127929","77773","29323"
"2006-11-21T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","73218","13263","16555","7383","17428"
"2006-11-21T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","116375","10912","45731","34319","5647"
"2006-11-21T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","7580","480","4118","2797","804"
"2006-11-21T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","906789","143896","160705","104441","60420"
"2006-11-28T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","8081","525","4340","2748","799"
"2006-11-28T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","349517","43198","123208","75457","30862"
"2006-11-28T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","70308","11425","14318","7789","17752"
"2006-11-28T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","885318","138676","157525","101507","58142"
"2006-11-28T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","109864","9194","46924","36335","5633"
"2006-11-28T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","11506","1120","6893","3180","1272"
"2006-12-05T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","106839","7522","48110","39630","5078"
"2006-12-05T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","330530","34153","117141","80731","28684"
"2006-12-05T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","68793","11218","15896","7779","16656"
"2006-12-05T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","8015","756","4273","2405","791"
"2006-12-05T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","11042","1086","6813","3221","1431"
"2006-12-05T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","895884","143025","160965","107043","67468"
"2006-12-12T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","893550","141545","164708","108520","72404"
"2006-12-12T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","333101","34159","119986","78367","28281"
"2006-12-12T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","67911","10676","16151","7531","16829"
"2006-12-12T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","110084","7784","49956","41150","4917"
"2006-12-12T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","8144","808","3802","2312","757"
"2006-12-12T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","11196","1040","6712","3289","1530"
"2006-12-19T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","11185","854","6615","3093","1590"
"2006-12-19T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","337096","40007","119734","68672","29711"
"2006-12-19T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","68920","12246","16142","6108","17327"
"2006-12-19T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","103358","9341","46003","28038","4945"
"2006-12-19T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","8165","768","3776","2410","741"
"2006-12-19T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","895081","143733","164274","105337","77235"
"2006-12-26T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","11332","922","6719","3144","1587"
"2006-12-26T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","340473","40150","121029","69815","31696"
"2006-12-26T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","67350","12442","15633","4598","17390"
"2006-12-26T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","101141","9501","45303","26509","4961"
"2006-12-26T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","8549","1226","4059","2575","781"
"2006-12-26T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","876822","142313","157512","92564","80347"
"2007-01-03T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","12459","1105","7459","4224","1551"
"2007-01-03T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","353494","36896","122207","77786","30994"
"2007-01-03T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","70253","12781","16750","3709","16505"
"2007-01-03T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","103703","11094","44668","26303","6241"
"2007-01-03T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","8383","1036","4295","3370","805"
"2007-01-03T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","875621","132854","151607","94732","83375"
"2007-01-09T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","12873","924","7669","4717","1535"
"2007-01-09T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","347491","39737","108459","65657","39661"
"2007-01-09T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","69879","13653","18715","3174","18567"
"2007-01-09T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","101420","10315","42508","27436","5356"
"2007-01-09T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","8058","1074","4051","2958","975"
"2007-01-09T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","887510","141186","152943","99290","85952"
"2007-01-16T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","918053","145377","158141","100037","89364"
"2007-01-16T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","344685","44073","112691","68430","33371"
"2007-01-16T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","68933","14092","16517","3230","18636"
"2007-01-16T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","101830","11184","41991","27032","4987"
"2007-01-16T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","8504","1230","4257","3247","776"
"2007-01-16T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","12924","852","7792","4660","1500"
"2007-01-23T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","924398","149035","161526","92579","76013"
"2007-01-23T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","361114","46493","127422","85684","27746"
"2007-01-23T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","70723","13801","17099","2917","19188"
"2007-01-23T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","108484","12570","45481","29339","5179"
"2007-01-23T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","9102","803","4736","3946","725"
"2007-01-23T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","14479","897","8952","5961","1457"
"2007-01-30T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","15607","873","9754","6068","1111"
"2007-01-30T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","348035","39261","129221","99352","29366"
"2007-01-30T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","71448","14492","17287","3038","19724"
"2007-01-30T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","112320","12502","47820","33061","5944"
"2007-01-30T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","9811","907","5125","4416","790"
"2007-01-30T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","904938","139781","154657","81830","61673"
"2007-02-06T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","15654","929","9867","5950","1076"
"2007-02-06T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","360936","35549","136981","109228","27766"
"2007-02-06T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","72035","15407","18000","2606","20032"
"2007-02-06T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","116607","12899","49541","35717","6313"
"2007-02-06T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","10354","1081","4716","4264","883"
"2007-02-06T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","865279","135187","152723","83092","58404"
"2007-02-13T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","16358","961","9944","5610","1251"
"2007-02-13T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","383169","37250","147302","121684","24627"
